central_frequency,tiling,beam_fwhm,beam_name,ra,dec
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2317-8430,349.4117647058824,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0000-8241,0.0,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0105-8241,16.363636363636363,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0210-8241,32.72727272727273,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0316-8241,49.090909090909086,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0421-8241,65.45454545454545,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0527-8241,81.81818181818183,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0632-8241,98.18181818181817,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0738-8241,114.54545454545455,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0843-8241,130.9090909090909,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0949-8241,147.27272727272725,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1054-8241,163.63636363636365,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1200-8241,179.99999999999997,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1305-8241,196.36363636363635,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1410-8241,212.72727272727272,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1516-8241,229.0909090909091,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1621-8241,245.4545454545454,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1727-8241,261.8181818181818,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1832-8241,278.1818181818182,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1938-8241,294.5454545454545,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2043-8241,310.9090909090909,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2149-8241,327.2727272727273,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2254-8241,343.6363636363636,-82.68592837535209
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0025-8051,6.428571428571429,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0117-8051,19.285714285714285,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0208-8051,32.142857142857146,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0300-8051,45.0,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0351-8051,57.857142857142854,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0442-8051,70.71428571428571,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0534-8051,83.57142857142857,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0625-8051,96.42857142857143,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0717-8051,109.28571428571429,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0808-8051,122.14285714285714,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0900-8051,135.0,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0951-8051,147.85714285714283,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1042-8051,160.71428571428572,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1134-8051,173.57142857142858,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1225-8051,186.42857142857142,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1317-8051,199.28571428571425,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1408-8051,212.14285714285714,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1500-8051,225.00000000000003,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1551-8051,237.85714285714286,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1642-8051,250.71428571428572,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1734-8051,263.57142857142856,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1825-8051,276.42857142857144,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1917-8051,289.2857142857142,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2008-8051,302.14285714285717,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2100-8051,315.0,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2151-8051,327.85714285714283,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2242-8051,340.7142857142858,-80.85741046919011
